day,date,time_cet,platform,product,niche,format,hook,caption,hashtags,code,lang,video_file,link
1,2026-06-16,19:00,"TikTok,Instagram",Signet-Ring Edelstahl matt,Herren-Schmuck,close-up,"Der Ring-Trend 2026 fuer Maenner","Siegelring matt gebuerstet - das Statement-Piece 2026 fuer ihn. -10% mit WELCOME10 - Link in Bio.","#herrenschmuck #siegelring #mensfashion #edelstahl #luxestyle",WELCOME10,de,signet_men.mp4,https://luxestyle.com.co
2,2026-06-17,18:30,"TikTok,Instagram",Sunset Projection Lamp,US/Summer,POV,"POV: golden hour in your room","POV: golden hour any time of day 🌅 -10% with WELCOME10 - link in bio.","#sunsetlamp #roomaesthetic #cozyhome #fyp #luxestyle",WELCOME10,en,sunset_pov.mp4,https://luxestyle.com.co
3,2026-06-18,20:00,"TikTok,Instagram",Smart Ring Titan,Tech/Wearable,demo,"A smartwatch on your finger","Track sleep heart-rate and steps - no screen no wrist 💍 Titan Smart Ring. -10% WELCOME10 - link in bio.","#smartring #wearabletech #sleeptracker #gadgets #luxestyle",WELCOME10,en,smartring_demo.mp4,https://luxestyle.com.co
4,2026-06-19,17:00,"TikTok,Instagram",Waterproof Jewelry Set,Schmuck,try-on,"Jewelry that survives the pool","Gold that never turns green - even in the pool 💦💛 -10% WELCOME10 - link in bio.","#waterproofjewelry #goldjewelry #layering #summerstyle #luxestyle",WELCOME10,en,jewelry_tryon.mp4,https://luxestyle.com.co
5,2026-06-20,19:30,"TikTok,Instagram",Leder-Schluesselanhaenger,Herren/Geschenk,engraving,"Das Geschenk das Charakter bekommt","Echtes Vollnarbenleder mit deiner Gravur - das Geschenk das mit den Jahren schoener wird. -10% WELCOME10 - Link in Bio.","#geschenkfuerihn #leder #personalisiert #gravur #luxestyle",WELCOME10,de,keychain_engrave.mp4,https://luxestyle.com.co
6,2026-06-21,12:00,"TikTok,Instagram",Phone Makeover Set,US/Summer,makeover,"Phone glow-up in 10 seconds","Phone glow-up in 10 seconds 📱✨ Which charm is your fave? -10% WELCOME10 - link in bio.","#phonemakeover #phonecharms #magsafe #fyp #luxestyle",WELCOME10,en,phone_makeover.mp4,https://luxestyle.com.co
7,2026-06-22,20:00,"TikTok,Instagram",Stacking-Ring Mix-Metall,Schmuck,styling,"Mixed-metal stacking the right way","How to stack gold and silver the right way 💍 Mixed-metal trend. -10% WELCOME10 - link in bio.","#stackingrings #mixedmetals #jewelrytrend #styling #luxestyle",WELCOME10,en,stacking_style.mp4,https://luxestyle.com.co
8,2026-06-23,18:00,"TikTok,Instagram",Rain Cloud Diffuser,US/Summer,ASMR,"This cloud actually rains","This cloud literally rains ☁️ Calmest corner of my home. -10% WELCOME10 - link in bio.","#raincloud #aromadiffuser #asmr #cozyhome #luxestyle",WELCOME10,en,diffuser_asmr.mp4,https://luxestyle.com.co
9,2026-06-24,19:00,"TikTok,Instagram",Herren-Siegelring schwarz-silber,Herren-Schmuck,close-up,"Maskulin und alltagstauglich","Klassischer Siegelring aus 316L - markant kratzfest alltagstauglich. -10% WELCOME10 - Link in Bio.","#herrenring #siegelring #mensaccessories #edelstahl #luxestyle",WELCOME10,de,signet_black.mp4,https://luxestyle.com.co
10,2026-06-25,17:30,"TikTok,Instagram",Straw Beach Tote,US/Summer,outfit,"The only bag this summer","The only bag I'm bringing this summer 👜☀️ Handwoven it-bag. -10% WELCOME10 - link in bio.","#strawbag #beachbag #ootd #summeroutfit #luxestyle",WELCOME10,en,straw_outfit.mp4,https://luxestyle.com.co
11,2026-06-26,20:00,"TikTok,Instagram",Ultraschall-Reinigungsgeraet,Tech/Home,satisfying,"So sauber war deine Brille nie","Porentief sauber in 5 Minuten - Brillen Schmuck Uhren ohne Schrubben ✨ -10% WELCOME10 - Link in Bio.","#ultraschallreiniger #satisfying #cleantok #gadget #luxestyle",WELCOME10,de,ultrasonic_clean.mp4,https://luxestyle.com.co
12,2026-06-27,12:30,"TikTok,Instagram",LED Mirror Clock,US/Summer,desk-setup,"The desk detail everyone asks about","The desk detail everyone asks about ⏰ Minimal premium LED. -10% WELCOME10 - link in bio.","#desksetup #ledclock #minimalist #aesthetic #luxestyle",WELCOME10,en,clock_desk.mp4,https://luxestyle.com.co
13,2026-06-28,19:00,"TikTok,Instagram",Initialen-Ring A-Z,Schmuck/Personalisiert,personalize,"Your initial your ring","Pick your initial - adjustable 316L gold or silver 💍 Perfect little gift. -10% WELCOME10 - link in bio.","#initialring #personalized #jewelrygift #dainty #luxestyle",WELCOME10,en,initial_ring.mp4,https://luxestyle.com.co
14,2026-06-29,18:00,"TikTok,Instagram",Ringlicht 26cm mit Stativ,Tech/Creator,setup,"Dein Content-Setup-Upgrade","26cm Ringlicht + Stativ - dein Glow-up fuer Selfies Reels und Calls 💡 -10% WELCOME10 - Link in Bio.","#ringlicht #contentcreator #setup #beleuchtung #luxestyle",WELCOME10,de,ringlight_setup.mp4,https://luxestyle.com.co
15,2026-06-30,20:00,"TikTok,Instagram",Waterproof Jewelry Set,Schmuck,unboxing,"Unboxing my waterproof gold set","Unboxing my 18K waterproof gold set 📦💛 Tarnish-free forever. -10% WELCOME10 - link in bio.","#unboxing #goldjewelry #haul #waterproofjewelry #luxestyle",WELCOME10,en,jewelry_unboxing.mp4,https://luxestyle.com.co
16,2026-07-01,19:00,"TikTok,Instagram",Plain Band Ring gebuerstet,Herren-Schmuck,minimal,"Der minimalistische Klassiker","6mm Comfort-Fit gebuerstet - schlicht robust zeitlos fuer jeden Tag. -10% WELCOME10 - Link in Bio.","#herrenring #minimalist #bandring #edelstahl #luxestyle",WELCOME10,de,bandring_minimal.mp4,https://luxestyle.com.co
17,2026-07-02,17:00,"TikTok,Instagram",Sunset Projection Lamp,US/Summer,GRWM,"GRWM in golden-hour light","GRWM with golden-hour lighting in any room 🌅 -10% WELCOME10 - link in bio.","#grwm #sunsetlamp #goldenhour #fyp #luxestyle",WELCOME10,en,sunset_grwm.mp4,https://luxestyle.com.co
18,2026-07-03,20:00,"TikTok,Instagram",Schmuckbox Premium mit Spiegel,Accessoires,organize,"Schluss mit Ketten-Knoten","Nie wieder verknotete Ketten - Schmuckbox mit Spiegel fuer Zuhause und Reise. -10% WELCOME10 - Link in Bio.","#schmuckbox #organisation #aufbewahrung #reise #luxestyle",WELCOME10,de,jewelrybox_org.mp4,https://luxestyle.com.co
19,2026-07-04,18:30,"TikTok,Instagram",Smart Ring Titan,Tech/Wearable,review,"2 weeks with a smart ring","Honest review after 2 weeks 💍 Sleep + recovery without a wrist gadget. -10% WELCOME10 - link in bio.","#smartring #review #wearabletech #biohacking #luxestyle",WELCOME10,en,smartring_review.mp4,https://luxestyle.com.co
20,2026-07-05,12:00,"TikTok,Instagram",Phone Makeover Set,US/Summer,haul,"Which charm is your fave","Mix-and-match phone charms haul 📱✨ Which one's your fave? -10% WELCOME10 - link in bio.","#phonecharms #haul #phonemakeover #magsafe #luxestyle",WELCOME10,en,phone_haul.mp4,https://luxestyle.com.co
21,2026-07-06,19:00,"TikTok,Instagram",Akupressur-Ringe Set,Wellness,demo,"60 Sekunden Entspannung","Akupressur-Ringe - Energie und Entspannung an den Fingern in Sekunden. -10% WELCOME10 - Link in Bio.","#akupressur #wellness #recovery #selfcare #luxestyle",WELCOME10,de,acupressure_demo.mp4,https://luxestyle.com.co
22,2026-07-07,18:00,"TikTok,Instagram",Rain Cloud Diffuser,US/Summer,before-after,"Turn your room into a spa","Turn your room into a spa in one step ☁️ -10% WELCOME10 - link in bio.","#roomtransformation #aromadiffuser #cozyhome #fyp #luxestyle",WELCOME10,en,diffuser_beforeafter.mp4,https://luxestyle.com.co
23,2026-07-08,20:00,"TikTok,Instagram",Signet-Ring Edelstahl matt,Herren-Schmuck,how-to-wear,"How to wear a signet ring","How to wear a signet ring in 2026 - unisex statement that lasts. -10% WELCOME10 - link in bio.","#signetring #mensjewelry #howtowear #unisex #luxestyle",WELCOME10,en,signet_howto.mp4,https://luxestyle.com.co
24,2026-07-09,17:30,"TikTok,Instagram",Straw Beach Tote,US/Summer,beach-day,"Beach day essentials","Beach day essentials in one bag 👜🌊 -10% WELCOME10 - link in bio.","#beachday #strawbag #summeressentials #ootd #luxestyle",WELCOME10,en,straw_beach.mp4,https://luxestyle.com.co
25,2026-07-10,19:00,"TikTok,Instagram",Reise-Schmuckbinder Leder,Reise/Geschenk,travel,"Nie wieder verknotete Ketten unterwegs","Kompakter Schmuckbinder im Buch-Format - Ringe Ohrringe Ketten sauber sortiert auf Reisen. -10% WELCOME10 - Link in Bio.","#reise #schmuck #travelhack #geschenk #luxestyle",WELCOME10,de,jewelrybinder_travel.mp4,https://luxestyle.com.co
26,2026-07-11,20:00,"TikTok,Instagram",Waterproof Jewelry Set,Schmuck,layering,"Summer layering that lasts","Summer gold layering that lasts all season 💍 Waterproof. -10% WELCOME10 - link in bio.","#layering #goldjewelry #summerstyle #waterproofjewelry #luxestyle",WELCOME10,en,jewelry_layering.mp4,https://luxestyle.com.co
27,2026-07-12,18:00,"TikTok,Instagram",Herren-Siegelring schwarz-silber,Herren-Schmuck,gift,"Das perfekte Geschenk fuer ihn","Statement-Ring fuer ihn - markant und alltagstauglich. Perfektes Geschenk. -10% WELCOME10 - Link in Bio.","#geschenkfuerihn #herrenschmuck #siegelring #mensgift #luxestyle",WELCOME10,de,signet_gift.mp4,https://luxestyle.com.co
28,2026-07-13,12:30,"TikTok,Instagram",LED Mirror Clock,US/Summer,night,"Minimal desk maximum vibe","Minimal desk maximum vibe ⏰ Mirror LED clock. -10% WELCOME10 - link in bio.","#deskaesthetic #ledclock #minimalist #nightroutine #luxestyle",WELCOME10,en,clock_night.mp4,https://luxestyle.com.co
29,2026-07-14,19:00,"TikTok,Instagram",Yoga-Strap 2er-Set,Sport/Wellness,how-to,"Tiefer dehnen ab heute","Yoga-Gurt mit D-Ring - verbessert Dehnung und Reichweite sofort. -10% WELCOME10 - Link in Bio.","#yoga #stretching #wellness #recovery #luxestyle",WELCOME10,de,yoga_strap.mp4,https://luxestyle.com.co
30,2026-07-15,19:00,"TikTok,Instagram",Sunset Projection Lamp,US/Summer,sale-push,"Last days minus 15 percent","Last days: -15% on the whole Summer collection with code USA15 ☀️ Link in bio!","#summersale #sunsetlamp #sale #tiktokshop #luxestyle",USA15,en,sunset_sale.mp4,https://luxestyle.com.co
