date,time_cet,platform,product,sku,format,hook,caption,hashtags,code,lang,video_file,link
2026-06-02,19:00,"TikTok,Instagram",Sunset Projection Lamp,LX-LAMP,POV reel,"POV: your room just became the comfiest spot","POV: your room just became the comfiest spot 🌅 Sunset glow on demand. Get -10% with WELCOME10 - link in bio.","#sunsetlamp #roomaesthetic #cozyhome #tiktokmademebuyit #luxestyle",WELCOME10,en,sunset_pov.mp4,https://luxestyle.com.co
2026-06-03,18:00,"TikTok,Instagram",Rain Cloud Diffuser,LX-DIFF,ASMR aesthetic,"This cloud actually rains","This cloud literally rains ☁️ Calmest corner in my home. -10% with WELCOME10 - link in bio.","#raincloud #aromadiffuser #asmr #cozyhome #luxestyle",WELCOME10,en,diffuser_asmr.mp4,https://luxestyle.com.co
2026-06-04,20:00,"TikTok,Instagram",Waterproof Jewelry Set,LX-JWL,try-on,"Jewelry that survives the pool","Jewelry that does NOT turn green - even in the pool 💦💛 18K waterproof. -10% WELCOME10 - link in bio.","#waterproofjewelry #goldjewelry #summerstyle #layering #luxestyle",WELCOME10,en,jewelry_tryon.mp4,https://luxestyle.com.co
2026-06-05,19:30,"TikTok,Instagram",Phone Makeover Set,LX-PHN,makeover,"Phone glow-up in 10 seconds","Phone glow-up in 10 seconds 📱✨ Which charm is your fave? -10% WELCOME10 - link in bio.","#phonemakeover #phonecharms #magsafe #tiktokmademebuyit #luxestyle",WELCOME10,en,phone_makeover.mp4,https://luxestyle.com.co
2026-06-06,12:00,"TikTok,Instagram",LED Mirror Clock,LX-CLOCK,desk setup,"The desk detail everyone asks about","The desk detail everyone asks about ⏰ Clean, minimal, premium. -10% WELCOME10 - link in bio.","#desksetup #ledclock #minimalist #aesthetic #luxestyle",WELCOME10,en,clock_desk.mp4,https://luxestyle.com.co
2026-06-07,17:00,"TikTok,Instagram",Straw Beach Tote,LX-BAG,summer outfit,"The only bag Im bringing this summer","The only bag I'm bringing this summer 👜☀️ Handwoven straw it-bag. -10% WELCOME10 - link in bio.","#strawbag #beachbag #summeroutfit #ootd #luxestyle",WELCOME10,en,straw_outfit.mp4,https://luxestyle.com.co
2026-06-08,19:00,"TikTok,Instagram",Sunset Projection Lamp,LX-LAMP,GRWM,"GRWM with golden hour lighting","GRWM with golden-hour lighting in any room 🌅 -10% WELCOME10 - link in bio.","#grwm #sunsetlamp #goldenhour #roomaesthetic #luxestyle",WELCOME10,en,sunset_grwm.mp4,https://luxestyle.com.co
2026-06-09,20:00,"TikTok,Instagram",Waterproof Jewelry Set,LX-JWL,unboxing,"Unboxing my waterproof gold set","Unboxing my waterproof 18K gold set 📦💛 Tarnish-free forever. -10% WELCOME10 - link in bio.","#unboxing #goldjewelry #waterproofjewelry #haul #luxestyle",WELCOME10,en,jewelry_unboxing.mp4,https://luxestyle.com.co
2026-06-10,18:30,"TikTok,Instagram",Rain Cloud Diffuser,LX-DIFF,before-after,"Turn your room into a spa","Turn your room into a spa in one step ☁️ Before/after. -10% WELCOME10 - link in bio.","#roomtransformation #aromadiffuser #raincloud #cozyhome #luxestyle",WELCOME10,en,diffuser_beforeafter.mp4,https://luxestyle.com.co
2026-06-11,19:00,"TikTok,Instagram",Phone Makeover Set,LX-PHN,charms haul,"Which charm is your fave","Mix and match phone charms haul 📱✨ Which one's your fave? -10% WELCOME10 - link in bio.","#phonecharms #phonemakeover #haul #magsafe #luxestyle",WELCOME10,en,phone_haul.mp4,https://luxestyle.com.co
2026-06-12,12:30,"TikTok,Instagram",Straw Beach Tote,LX-BAG,beach day,"Beach day essentials","Beach day essentials in one bag 👜🌊 Handwoven + roomy. -10% WELCOME10 - link in bio.","#beachday #strawbag #summeressentials #ootd #luxestyle",WELCOME10,en,straw_beach.mp4,https://luxestyle.com.co
2026-06-13,20:00,"TikTok,Instagram",LED Mirror Clock,LX-CLOCK,aesthetic night,"Minimal desk maximum vibe","Minimal desk, maximum vibe ⏰ Mirror LED clock. -10% WELCOME10 - link in bio.","#deskaesthetic #ledclock #minimalist #nightroutine #luxestyle",WELCOME10,en,clock_night.mp4,https://luxestyle.com.co
2026-06-14,17:30,"TikTok,Instagram",Waterproof Jewelry Set,LX-JWL,layering,"Summer layering that lasts","Summer gold layering that lasts all season 💍 Waterproof. -10% WELCOME10 - link in bio.","#layering #goldjewelry #summerstyle #waterproofjewelry #luxestyle",WELCOME10,en,jewelry_layering.mp4,https://luxestyle.com.co
2026-06-15,19:00,"TikTok,Instagram",Sunset Projection Lamp,LX-LAMP,sale push,"Last days minus 15 percent","Last days: -15% on the whole Summer collection with code USA15 ☀️ Link in bio!","#sale #sunsetlamp #summersale #tiktokshop #luxestyle",USA15,en,sunset_sale.mp4,https://luxestyle.com.co
